present,past,p.p,pastsentence,p.psentence
draw,drew,drawn,He drew the ball to me during the game.,Passive: The homework was drawn by the teacher. | Present Perfect: She has drawn already finished her dinner. | Past Perfect: I had drawn seen that movie before.
drive,drove,driven,He drove the ball to me during the game.,Passive: The homework was driven by the teacher. | Present Perfect: She has driven already finished her dinner. | Past Perfect: I had driven seen that movie before.
eat,ate,eaten,He ate the ball to me during the game.,Passive: The homework was eaten by the teacher. | Present Perfect: She has eaten already finished her dinner. | Past Perfect: I had eaten seen that movie before.
fall,fell,fallen,He fell the ball to me during the game.,Passive: The homework was fallen by the teacher. | Present Perfect: She has fallen already finished her dinner. | Past Perfect: I had fallen seen that movie before.
feed,fed,fed,He fed the ball to me during the game.,Passive: The homework was fed by the teacher. | Present Perfect: She has fed already finished her dinner. | Past Perfect: I had fed seen that movie before.
feel,felt,felt,He felt the ball to me during the game.,Passive: The homework was felt by the teacher. | Present Perfect: She has felt already finished her dinner. | Past Perfect: I had felt seen that movie before.
fight,fought,fought,He fought the ball to me during the game.,Passive: The homework was fought by the teacher. | Present Perfect: She has fought already finished her dinner. | Past Perfect: I had fought seen that movie before.
find,found,found,He found the ball to me during the game.,Passive: The homework was found by the teacher. | Present Perfect: She has found already finished her dinner. | Past Perfect: I had found seen that movie before.
fly,flew,flown,He flew the ball to me during the game.,Passive: The homework was flown by the teacher. | Present Perfect: She has flown already finished her dinner. | Past Perfect: I had flown seen that movie before.
forget,forgot,forgotten,He forgot the ball to me during the game.,Passive: The homework was forgotten by the teacher. | Present Perfect: She has forgotten already finished her dinner. | Past Perfect: I had forgotten seen that movie before.
forgive,forgave,forgiven,He forgave the ball to me during the game.,Passive: The homework was forgiven by the teacher. | Present Perfect: She has forgiven already finished her dinner. | Past Perfect: I had forgiven seen that movie before.
freeze,froze,frozen,He froze the ball to me during the game.,Passive: The homework was frozen by the teacher. | Present Perfect: She has frozen already finished her dinner. | Past Perfect: I had frozen seen that movie before.
get,got,gotten/got,He got the ball to me during the game.,Passive: The homework was gotten/got by the teacher. | Present Perfect: She has gotten/got already finished her dinner. | Past Perfect: I had gotten/got seen that movie before.
give,gave,given,He gave the ball to me during the game.,Passive: The homework was given by the teacher. | Present Perfect: She has given already finished her dinner. | Past Perfect: I had given seen that movie before.
go,went,gone,He went the ball to me during the game.,Passive: The homework was gone by the teacher. | Present Perfect: She has gone already finished her dinner. | Past Perfect: I had gone seen that movie before.
grow,grew,grown,He grew the ball to me during the game.,Passive: The homework was grown by the teacher. | Present Perfect: She has grown already finished her dinner. | Past Perfect: I had grown seen that movie before.
hang,hung,hung,He hung the ball to me during the game.,Passive: The homework was hung by the teacher. | Present Perfect: She has hung already finished her dinner. | Past Perfect: I had hung seen that movie before.
hear,heard,heard,He heard the ball to me during the game.,Passive: The homework was heard by the teacher. | Present Perfect: She has heard already finished her dinner. | Past Perfect: I had heard seen that movie before.
hide,hid,hidden,He hid the ball to me during the game.,Passive: The homework was hidden by the teacher. | Present Perfect: She has hidden already finished her dinner. | Past Perfect: I had hidden seen that movie before.
hit,hit,hit,He hit the ball to me during the game.,Passive: The homework was hit by the teacher. | Present Perfect: She has hit already finished her dinner. | Past Perfect: I had hit seen that movie before.
hold,held,held,He held the ball to me during the game.,Passive: The homework was held by the teacher. | Present Perfect: She has held already finished her dinner. | Past Perfect: I had held seen that movie before.
hurt,hurt,hurt,He hurt the ball to me during the game.,Passive: The homework was hurt by the teacher. | Present Perfect: She has hurt already finished her dinner. | Past Perfect: I had hurt seen that movie before.
keep,kept,kept,He kept the ball to me during the game.,Passive: The homework was kept by the teacher. | Present Perfect: She has kept already finished her dinner. | Past Perfect: I had kept seen that movie before.
know,knew,known,He knew the ball to me during the game.,Passive: The homework was known by the teacher. | Present Perfect: She has known already finished her dinner. | Past Perfect: I had known seen that movie before.
lay,laid,laid,He laid the ball to me during the game.,Passive: The homework was laid by the teacher. | Present Perfect: She has laid already finished her dinner. | Past Perfect: I had laid seen that movie before.
lead,led,led,He led the ball to me during the game.,Passive: The homework was led by the teacher. | Present Perfect: She has led already finished her dinner. | Past Perfect: I had led seen that movie before.
leave,left,left,He left the ball to me during the game.,Passive: The homework was left by the teacher. | Present Perfect: She has left already finished her dinner. | Past Perfect: I had left seen that movie before.
lend,lent,lent,He lent the ball to me during the game.,Passive: The homework was lent by the teacher. | Present Perfect: She has lent already finished her dinner. | Past Perfect: I had lent seen that movie before.
let,let,let,He let the ball to me during the game.,Passive: The homework was let by the teacher. | Present Perfect: She has let already finished her dinner. | Past Perfect: I had let seen that movie before.
lie,lay,lain,He lay the ball to me during the game.,Passive: The homework was lain by the teacher. | Present Perfect: She has lain already finished her dinner. | Past Perfect: I had lain seen that movie before.
lose,lost,lost,He lost the ball to me during the game.,Passive: The homework was lost by the teacher. | Present Perfect: She has lost already finished her dinner. | Past Perfect: I had lost seen that movie before.
make,made,made,He made the ball to me during the game.,Passive: The homework was made by the teacher. | Present Perfect: She has made already finished her dinner. | Past Perfect: I had made seen that movie before.
mean,meant,meant,He meant the ball to me during the game.,Passive: The homework was meant by the teacher. | Present Perfect: She has meant already finished her dinner. | Past Perfect: I had meant seen that movie before.
meet,met,met,He met the ball to me during the game.,Passive: The homework was met by the teacher. | Present Perfect: She has met already finished her dinner. | Past Perfect: I had met seen that movie before.
pay,paid,paid,He paid the ball to me during the game.,Passive: The homework was paid by the teacher. | Present Perfect: She has paid already finished her dinner. | Past Perfect: I had paid seen that movie before.
put,put,put,He put the ball to me during the game.,Passive: The homework was put by the teacher. | Present Perfect: She has put already finished her dinner. | Past Perfect: I had put seen that movie before.
read,read,read,He read the ball to me during the game.,Passive: The homework was read by the teacher. | Present Perfect: She has read already finished her dinner. | Past Perfect: I had read seen that movie before.
ride,rode,ridden,He rode the ball to me during the game.,Passive: The homework was ridden by the teacher. | Present Perfect: She has ridden already finished her dinner. | Past Perfect: I had ridden seen that movie before.
ring,rang,rung,He rang the ball to me during the game.,Passive: The homework was rung by the teacher. | Present Perfect: She has rung already finished her dinner. | Past Perfect: I had rung seen that movie before.
rise,rose,risen,He rose the ball to me during the game.,Passive: The homework was risen by the teacher. | Present Perfect: She has risen already finished her dinner. | Past Perfect: I had risen seen that movie before.
run,ran,run,He ran the ball to me during the game.,Passive: The homework was run by the teacher. | Present Perfect: She has run already finished her dinner. | Past Perfect: I had run seen that movie before.
say,said,said,He said the ball to me during the game.,Passive: The homework was said by the teacher. | Present Perfect: She has said already finished her dinner. | Past Perfect: I had said seen that movie before.
see,saw,seen,He saw the ball to me during the game.,Passive: The homework was seen by the teacher. | Present Perfect: She has seen already finished her dinner. | Past Perfect: I had seen seen that movie before.
sell,sold,sold,He sold the ball to me during the game.,Passive: The homework was sold by the teacher. | Present Perfect: She has sold already finished her dinner. | Past Perfect: I had sold seen that movie before.
send,sent,sent,He sent the ball to me during the game.,Passive: The homework was sent by the teacher. | Present Perfect: She has sent already finished her dinner. | Past Perfect: I had sent seen that movie before.
set,set,set,He set the ball to me during the game.,Passive: The homework was set by the teacher. | Present Perfect: She has set already finished her dinner. | Past Perfect: I had set seen that movie before.
shake,shook,shaken,He shook the ball to me during the game.,Passive: The homework was shaken by the teacher. | Present Perfect: She has shaken already finished her dinner. | Past Perfect: I had shaken seen that movie before.
shine,shone,shone,He shone the ball to me during the game.,Passive: The homework was shone by the teacher. | Present Perfect: She has shone already finished her dinner. | Past Perfect: I had shone seen that movie before.
shoot,shot,shot,He shot the ball to me during the game.,Passive: The homework was shot by the teacher. | Present Perfect: She has shot already finished her dinner. | Past Perfect: I had shot seen that movie before.
show,showed,shown,He showed the ball to me during the game.,Passive: The homework was shown by the teacher. | Present Perfect: She has shown already finished her dinner. | Past Perfect: I had shown seen that movie before.
shut,shut,shut,He shut the ball to me during the game.,Passive: The homework was shut by the teacher. | Present Perfect: She has shut already finished her dinner. | Past Perfect: I had shut seen that movie before.
sing,sang,sung,He sang the ball to me during the game.,Passive: The homework was sung by the teacher. | Present Perfect: She has sung already finished her dinner. | Past Perfect: I had sung seen that movie before.
sink,sank,sunk,He sank the ball to me during the game.,Passive: The homework was sunk by the teacher. | Present Perfect: She has sunk already finished her dinner. | Past Perfect: I had sunk seen that movie before.
sit,sat,sat,He sat the ball to me during the game.,Passive: The homework was sat by the teacher. | Present Perfect: She has sat already finished her dinner. | Past Perfect: I had sat seen that movie before.
sleep,slept,slept,He slept the ball to me during the game.,Passive: The homework was slept by the teacher. | Present Perfect: She has slept already finished her dinner. | Past Perfect: I had slept seen that movie before.
speak,spoke,spoken,He spoke the ball to me during the game.,Passive: The homework was spoken by the teacher. | Present Perfect: She has spoken already finished her dinner. | Past Perfect: I had spoken seen that movie before.
spend,spent,spent,He spent the ball to me during the game.,Passive: The homework was spent by the teacher. | Present Perfect: She has spent already finished her dinner. | Past Perfect: I had spent seen that movie before.
stand,stood,stood,He stood the ball to me during the game.,Passive: The homework was stood by the teacher. | Present Perfect: She has stood already finished her dinner. | Past Perfect: I had stood seen that movie before.
steal,stole,stolen,He stole the ball to me during the game.,Passive: The homework was stolen by the teacher. | Present Perfect: She has stolen already finished her dinner. | Past Perfect: I had stolen seen that movie before.
stick,stuck,stuck,He stuck the ball to me during the game.,Passive: The homework was stuck by the teacher. | Present Perfect: She has stuck already finished her dinner. | Past Perfect: I had stuck seen that movie before.
strike,struck,struck/striken,He struck the ball to me during the game.,Passive: The homework was struck/striken by the teacher. | Present Perfect: She has struck/striken already finished her dinner. | Past Perfect: I had struck/striken seen that movie before.
swim,swam,swum,He swam the ball to me during the game.,Passive: The homework was swum by the teacher. | Present Perfect: She has swum already finished her dinner. | Past Perfect: I had swum seen that movie before.
take,took,taken,He took the ball to me during the game.,Passive: The homework was taken by the teacher. | Present Perfect: She has taken already finished her dinner. | Past Perfect: I had taken seen that movie before.
teach,taught,taught,He taught the ball to me during the game.,Passive: The homework was taught by the teacher. | Present Perfect: She has taught already finished her dinner. | Past Perfect: I had taught seen that movie before.
tear,tore,torn,He tore the ball to me during the game.,Passive: The homework was torn by the teacher. | Present Perfect: She has torn already finished her dinner. | Past Perfect: I had torn seen that movie before.
tell,told,told,He told the ball to me during the game.,Passive: The homework was told by the teacher. | Present Perfect: She has told already finished her dinner. | Past Perfect: I had told seen that movie before.
think,thought,thought,He thought the ball to me during the game.,Passive: The homework was thought by the teacher. | Present Perfect: She has thought already finished her dinner. | Past Perfect: I had thought seen that movie before.
throw,threw,thrown,He threw the ball to me during the game.,Passive: The homework was thrown by the teacher. | Present Perfect: She has thrown already finished her dinner. | Past Perfect: I had thrown seen that movie before.
understand,understood,understood,He understood the ball to me during the game.,Passive: The homework was understood by the teacher. | Present Perfect: She has understood already finished her dinner. | Past Perfect: I had understood seen that movie before.
wake,woke,woken,He woke the ball to me during the game.,Passive: The homework was woken by the teacher. | Present Perfect: She has woken already finished her dinner. | Past Perfect: I had woken seen that movie before.
wear,wore,worn,He wore the ball to me during the game.,Passive: The homework was worn by the teacher. | Present Perfect: She has worn already finished her dinner. | Past Perfect: I had worn seen that movie before.
win,won,won,He won the ball to me during the game.,Passive: The homework was won by the teacher. | Present Perfect: She has won already finished her dinner. | Past Perfect: I had won seen that movie before.
write,wrote,written,He wrote the ball to me during the game.,Passive: The homework was written by the teacher. | Present Perfect: She has written already finished her dinner. | Past Perfect: I had written seen that movie before.
